time, Quad.Est.E.Pos, Quad.Est.S.Z
2.340013,0.109684,0.340363
2.345012,0.122758,0.340541
2.350012,0.133038,0.340662
2.355012,0.150627,0.340848
2.360011,0.163529,0.340974
2.365011,0.184288,0.341169
2.370011,0.198885,0.341302
2.375010,0.222012,0.341505
2.380010,0.238203,0.341644
2.385010,0.263265,0.341857
2.390009,0.280798,0.342002
2.395009,0.307532,0.342225
2.400008,0.325907,0.342378
2.405008,0.125113,0.341074
2.410008,0.116341,0.341175
2.415007,0.103780,0.341329
2.420007,0.096059,0.341435
2.425007,0.085796,0.341596
2.430006,0.080339,0.341706
2.435006,0.075584,0.341875
2.440006,0.075175,0.341990
2.445005,0.079168,0.342167
2.450005,0.084594,0.342288
2.455004,0.096716,0.342473
2.460004,0.106933,0.342599
2.465004,0.124494,0.342792
2.470003,0.137454,0.342924
2.475003,0.158311,0.343127
2.480003,0.173077,0.343265
2.485002,0.196291,0.343477
2.490002,0.212320,0.343622
2.495002,0.237364,0.343844
2.500001,0.254627,0.343995
2.505001,0.128419,0.342696
2.510000,0.118593,0.342796
2.515000,0.103553,0.342950
2.520000,0.093554,0.343055
2.524999,0.079293,0.343216
2.529999,0.070709,0.343325
2.534999,0.060198,0.343493
2.539998,0.055966,0.343608
2.544998,0.055573,0.343784
2.549998,0.059615,0.343904
2.554997,0.071227,0.344088
2.559997,0.081644,0.344214
2.564996,0.100033,0.344406
2.569996,0.113535,0.344538
2.574996,0.135403,0.344739
2.579995,0.151025,0.344877
2.584995,0.175108,0.345088
2.589995,0.191737,0.345232
2.594994,0.217500,0.345453
2.599994,0.235106,0.345604
2.604994,0.138496,0.344309
2.609993,0.128662,0.344409
2.614993,0.114049,0.344562
2.619992,0.104530,0.344666
2.624992,0.091030,0.344826
2.629992,0.082956,0.344935
2.634991,0.073452,0.345103
2.639991,0.069644,0.345217
2.644991,0.068998,0.345392
2.649990,0.071998,0.345511
2.654990,0.082002,0.345694
2.659990,0.091730,0.345819
2.664989,0.109016,0.346011
2.669989,0.121932,0.346142
2.674989,0.143302,0.346343
2.679988,0.158532,0.346480
2.684988,0.182526,0.346690
2.689987,0.199179,0.346833
2.694987,0.225106,0.347053
2.699987,0.242795,0.347203
2.704986,0.121213,0.345912
2.709986,0.110947,0.346012
2.714986,0.095786,0.346164
2.719985,0.086176,0.346268
2.724985,0.073229,0.346427
2.729985,0.066292,0.346536
2.734984,0.060288,0.346702
2.739984,0.060204,0.346816
2.744983,0.066482,0.346990
2.749983,0.074271,0.347109
2.754983,0.090050,0.347291
2.759982,0.102502,0.347416
2.764982,0.123241,0.347607
2.769982,0.138025,0.347737
2.774981,0.161570,0.347937
2.779981,0.178046,0.348073
2.784981,0.203608,0.348282
2.789980,0.221402,0.348425
2.794980,0.248581,0.348644
2.799979,0.267132,0.348793
2.804979,0.164471,0.347507
2.809979,0.154675,0.347606
2.814978,0.139605,0.347758
2.819978,0.129421,0.347861
2.824978,0.114555,0.348019
2.829977,0.105014,0.348128
2.834977,0.091669,0.348293
2.839977,0.083887,0.348406
2.844976,0.075059,0.348580
2.849976,0.071989,0.348698
2.854975,0.072559,0.348880
2.859975,0.076688,0.349003
2.864975,0.087712,0.349193
2.869974,0.097692,0.349323
2.874974,0.115586,0.349522
2.879974,0.129006,0.349658
2.884973,0.150828,0.349866
2.889973,0.166415,0.350008
2.894973,0.190775,0.350226
2.899972,0.207669,0.350374
2.904972,0.135254,0.349092
2.909971,0.124104,0.349191
2.914971,0.107055,0.349342
2.919971,0.095606,0.349445
2.924970,0.078649,0.349603
2.929970,0.067822,0.349710
2.934970,0.053553,0.349875
2.939969,0.046686,0.349988
2.944969,0.043710,0.350160
2.949969,0.047801,0.350278
2.954968,0.061090,0.350459
2.959968,0.073034,0.350582
